"a.antonopoulou.art","Τηλ.: 2103214994 - Αριστοφάνους 20, 4ος όροφος, Ψυρρή","23.72449","37.97964","","","",""
"ACG Art Gallery","Τηλ.: 2106009800 - Γραβιάς 6, Αγ. Παρασκευή (Αμερικανικό Κολλέγιο Ελλάδος)","23.82721","38.00183","","","",""
"Alex Marathianakis Down Town Art","Τηλ.: 2103640223 - Λυκαβηττού 15, Κολωνάκι","23.73804","37.97983","","","",""
"AMP","Τηλ.: 2103251881 - Επικούρου 26 κ. Κορύνης 4, Αθήνα","23.72281","37.98126","","","",""
"Art 10 Gallery","Τηλ.: 2109220181 - Λεμπέση 10, Αθήνα","23.72989","37.96780","","","",""
"Art act","Τηλ.: 2106436081 - Σφαέλου 3-5 (πίσω από τον  ’ρειο Πάγο)","23.75459","37.99226","","","",""
"Art Gallery Cafe","Τηλ.: 2108958866 - Ιπποκράτους 1 κ. Γαληνού, Βούλα","23.76134","37.84831","","","",""
"Art Zone 42","Τηλ.: 2107259549 - Βασ. Κωνσταντίνου 42, Καλλιμάρμαρο","23.74421","37.97266","","","",""
"Art Πρίσμα","Τηλ.: 2104296790 - Μπουμπουλίνας 48, Πειραιάς","23.64794","37.93994","","","",""
"Artower Agora","Τηλ.: 2103246100 - Αρμοδίου 10, Βαρβάκειος Πλατεία","23.72696","37.98079","","","",""
"Ash in art","Τηλ.: 2109216890 - Ηρακλέους κ. Λαχούρη 1, στάση μετρό Συγγρού-Φιξ (έξοδος Καλλιρόης)","23.73365","37.96536","","","",""
"Barrio","Τηλ.: 2105246564 - Κεραμεικού 53","23.72006","37.98224","","","",""
"Bartesera","Τηλ.: 2103229805 - Κολοκοτρώνη 25, στοά Πραξιτέλους","23.73254","37.97737","","","",""
"Bernier/Eliades","Τηλ.: 2103413935-7 - Επταχάλκου 11, Θησείο","23.71785","37.97690","","","",""
"Bios","Τηλ.: 2103425335 - Πειραιώς 84","23.71815","37.97973","","","",""
"Black Duck","Τηλ.: 2103234760 - Χρήστου Λαδά 9Α κ. Σταδίου","23.73246","37.97857","","","",""
"Bonicos Gallery","Τηλ.: 2103236424 - Κ. Σερβίας 12-14","23.73307","37.97642","","","",""
"Booze Cooperativa","Τηλ.: 2103240944 - Κολοκοτρώνη 57, κέντρο","23.72921","37.97765","","","",""
"Brasserie Omirou","Τηλ.: 2109315355 - Ομήρου 2, Νέα Σμύρνη","23.70811","37.94693","","","",""
"Dasein cafe","Τηλ.: 2103841857 - Σολωμού 12, Εξάρχεια","23.73443","37.98635","","","",""
"Designers Dot Gallery","Τηλ.: 2107522322 - Μελαντίας 8 κ. Ηλιουπόλεως, Παγκράτι","23.73844","37.95840","","","",""
"Enigma","Τηλ.: 2108085745 - Λεωφ. Κηφισίας 263, Κηφισιά","23.81106","38.06964","","","",""
"fizz gallery","Τηλ.: 2103607598 - Βαλαωρίτου 9Γ, Κολωνάκι","23.73630","37.97819","","","",""
"Fnac Μαρούσι","Τηλ.: 2106305555 - The Mall, Αν. Παπανδρέου 35, θέση Ψαλίδι, Νερατζιώτισσα","23.78882","38.04721","","","",""
"Fnac Μοναστηράκι","Τηλ.: 8008005050 - Μητροπόλεως κ. Αιόλου","23.72757","37.97605","","","",""
"Gallery Kourd","Τηλ.: 2106426573 - Κασσιανής 2, Λυκαβηττός","23.74723","37.98724","","","",""
"ISC","Τηλ.: 2106755820 - Ηρώων Πολυτεχνείου 19, Χαλάνδρι","23.79283","38.00669","","","",""
"Kalfayan","Τηλ.: 2107217679 - Χάρητος 11, Κολωνάκι","23.74188","37.97663","","","",""
"Kaplanon 5","Τηλ.: 2103390946 - Καπλανών 5 κ. Μασσαλίας, Κολωνάκι","23.73678","37.98134","","","",""
"Kappatos","Τηλ.: 2103217931 - Αθηνάς 12, Μοναστηράκι","23.72648","37.97788","","","",""
"K-art","Τηλ.: 2114013877 - Σίνα 54","23.73854","37.98201","","","",""
"Le Cafe De l Art","Τηλ.: 2107255998 - Πλ. Μεσολογγίου 6, Παγκράτι","23.74903","37.96828","","","",""
"Lightroom (at Soul)","Τηλ.: 2103310907 - Ευριπίδου 65, Ψυρρή","23.72453","37.98028","","","",""
"LORAINI ALIMANTIRI/gazonrouge","Τηλ.: 2108837909 - Κυκλάδων 8, Κυψέλη","23.72920","37.97763","","","",""
"M art Space","Τηλ.: 2109246600 - Σόλωνος 10 κ. Ηρακλείτου, Κολωνάκι, 2ος όροφος","23.73937","37.97721","","","",""
"Manifactura","Τηλ.: 2103811470 - Ζωοδόχου Πηγής 29, Εξάρχεια","23.73514","37.98444","","","",""
"Mary Alexiou-Athens Art Space","Τηλ.: 2103608105 - Δημοκρίτου κ. Στρατιωτικού Συνδέσμου 23, Κολωνάκι","23.74034","37.98057","","","",""
"Micraasia","Τηλ.: 6945465449 - Λεωφ. Κωνσταντινουπόλεως 70, Γκάζι","23.71107","37.98001","","","",""
"Mihalarias Art","Τηλ.: 2106234320 - Κηφισίας 260 κ. Δηλιγιάννη","23.81223","38.07593","","","",""
"Mommy Cafe-Bar-Restaurant","Τηλ.: 2103619682 - Δελφών 4, Κολωνάκι","23.73688","37.98242","","","",""
"Pro-art/M. Λεγάκη","Τηλ.: 6976880408 - Καλλιδρομίου 30, Εξάρχεια","23.73872","37.98600","","","",""
"T. Kambani gallery","Τηλ.: 2104818386 - Βασιλέως Παύλου 82 (πίσω από τη Eurobank), Βούλα","23.76684","37.83986","","","",""
"Thanassis Fryssiras Gallery","Τηλ.: 2103640288 - Κριεζώτου 7, Κολωνάκι","23.73644","37.97716","","","",""
"The apartment","Τηλ.: 2103215469 - Ιθάκης 29, Κυψέλη","23.73263","37.97574","","","",""
"The Art Foundation TAF","Τηλ.: 2103238757 - Νορμανού 5, Μοναστηράκι","23.72436","37.97657","","","",""
"The Breeder","Τηλ.: 2103317527 - Ιάσονος 45","23.72021","37.98462","","","",""
"The Image Gallery","Τηλ.: 2103230534 - Αμαλίας 36","23.73305","37.97127","","","",""
"Titanium Yiayiannos Gallery","Τηλ.: 2107297644 - Β. Κωνσταντίνου 44","23.74421","37.97266","","","",""
"Tsitouras Collection","Τηλ.: 2103606208 - Σόλωνος 80, Κολωνάκι","23.73573","37.98170","","","",""
"Zazzium Bar","Τηλ.: 2103618446 - Ιπποκράτους κ. Διδότου 33, Εξάρχεια","23.73683","37.98313","","","",""
"Α.Δ.","Τηλ.: 2103228785 - Παλλάδος 3, Ψυρρή","23.72644","37.97889","","","",""
"Αγγέλων Βήμα","Τηλ.: 2105242211 - Σατωβριάνδου 36, Ομόνοια","23.72641","37.98530","","","",""
"Αγκάθι","Τηλ.: 2108640250 - Μηθύμνης 12 κ. Επτανήσου, Κυψέλη","23.73570","38.00169","","","",""
"Αδάμ","Τηλ.: 2103601779 - Ν. Βάμβα 5, Κολωνάκι","23.74118","37.97601","","","",""
"Αέναον","Τηλ.: 2106711264 - Κατεχάκη 70","23.77115","37.99806","","","",""
"Αθηνά Εργάνη","Τηλ.: 2103229067 - Αθηνάς 7 κ. Ερμού, Μοναστηράκι","23.72624","37.97713","","","",""
"Αθηναΐς","Τηλ.: 2103480000 - Καστοριάς 34-36, Βοτανικός","23.71102","37.98357","","","",""
"Αιγόκερως","Τηλ.: 2107223897 - Ξενοκράτους 45, Κολωνάκι","23.74640","37.97982","","","",""
"Αίθουσα εκδηλώσεων της Βουλής","Τηλ.:  - Αμαλίας 22-24, Σύνταγμα","23.73474","37.97286","","","",""
"Αίθουσα Τέχνης Αθηνών","Τηλ.: 2107213938 - Γλύκωνος 4, Δεξαμενή, Κολωνάκι","23.74182","37.97846","","","",""
"’λεκτον","Τηλ.: 2103422001, 2103464638 - Σφακτηρίας 23, Κεραμεικός","23.71628","37.98188","","","",""
"’νεμος","Τηλ.: 2108082027 - Αγ. Τρύφωνος 12, Κηφισιά","23.81366","38.06881","","","",""
"’ννα Πολυδώρου","Τηλ.: 2103213298 - Σαρρή 35, Ψυρρή,","23.72203","37.97868","","","",""
"Αρχαιολογική Εταιρεία Αθηνών","Τηλ.: 2103609689 - Πανεπιστημίου 22","23.73462","37.97838","","","",""
