"Ηρακλείου-Ανισσαράς - Παραλία Άγ. Γεώργιος","Γαλάζια Σημαία 2013","25.38258","35.33751","70014","Ανισσαράς","",""
"Ηρακλείου-Ανισσαράς - Παραλία Ανισσαράς ","Γαλάζια Σημαία 2013","25.37219","35.33938","70014","Ανισσαράς","",""
"Λασιθίου-Άγιος Νικόλαος - Παραλία Αλμυρού","Γαλάζια Σημαία 2013","25.70900","35.17743","72100","Άγιος Νικόλαος","",""
"Λασιθίου-Άγιος Νικόλαος - Παραλία Ίστρο, Βούλισμα ","Γαλάζια Σημαία 2013","25.74344","35.12535","72100","Άγιος Νικόλαος","",""
"Λασιθίου-Αμμουδάρα - Παραλία Αμμουδάρα","Γαλάζια Σημαία 2013","25.71066","35.16666","72100","Αμμουδάρα","",""
"Λασιθίου-Βάι - Παραλία Βάϊ","Γαλάζια Σημαία 2013","26.26467","35.25339","72300","Βάι","",""
"Λασιθίου-Γαλήνη - Παραλία Αγ. Φωτιά","Γαλάζια Σημαία 2013","25.87668","35.02246","72200","Γαλήνη","",""
"Μαγνησίας-Άγιοι Σαράντα - Παραλία Άγ. Σαράντα","","23.13534","39.44182","37001","Άγιοι Σαράντα","",""
"Μαγνησίας-Άγιος Γεώργιος - Παραλία Άγ. Γεώργιος (Κατηγιώργη)","","23.34298","39.17270","37006","Άγιος Γεώργιος","",""
"Μαγνησίας-Άγιος Ιωάννης - Παραλία Άγ. Ιωάννης","","23.16138","39.41698","37012","Άγιος Ιωάννης","",""
"Μαγνησίας-Άγιος Μηνάς - Παραλία Καρνάγιο","","23.01655","39.31943","37300","Άγιος Μηνάς","",""
"Μαγνησίας-Αγριά - Παραλία Σουτραλή","","23.01425","39.32512","37300","Αγριά","",""
"Μαγνησίας-Ανάληψη - Παραλία Ανάληψης","","23.11144","39.47002","37001","Ανάληψη","",""
"Μαγνησίας-Άφησσος - Παραλία Αμποβός","","23.16630","39.26825","37010","Άφησσος","",""
"Μαγνησίας-Βένετο - Παραλία Πετρομέλισσο","","23.00869","39.54008","38500","Βένετο","",""
"Μαγνησίας-Καλά Νερά - Παραλία Καλά Νερά","","23.12242","39.30365","37010","Καλά Νερά","",""
"Μαγνησίας-Καλαμάκι - Παραλία Καλαμάκι","","23.22676","39.34828","37012","Καλαμάκι","",""
"Μαγνησίας-Καμάρι - Παραλία Καμαρίου","","22.93456","39.57490","38500","Καμάρι","",""
"Μαγνησίας-Καστρί - Παραλία Καστρί","","23.30590","39.14276","37006","Καστρί","",""
"Μαγνησίας-Κάτω Γατζέα - Παραλία Ριβέρα","","23.09685","39.30779","37300","Κάτω Γατζέα","",""
"Μαγνησίας-Κορώπη - Παραλία Κορώπης","","23.14437","39.28811","37010","Κορώπη","",""
"Μαγνησίας-Κορώπη - Παραλία Παράδεισος","","23.14868","39.28388","37010","Κορώπη","",""
"Μαγνησίας-Λεφόκαστρο - Παραλία Λεφόκαστρου","","23.18234","39.24698","37006","Λεφόκαστρο","",""
"Μαγνησίας-Μικρό - Παραλία Μικρό","","23.26376","39.13679","37006","Μικρό","",""
"Μαγνησίας-Μορτιά - Παραλία Μουρτιά","","23.33337","39.20984","37006","Μορτιά","",""
