"Αιτωλοακαρνανίας-Αγρίνιο - Hondos Center","Τηλ: 2641047188 - Site: www.hondoscenter.gr","21.40892","38.62495","30131","Αγρίνιο","Ηλία Ηλίου","1"
"Αιτωλοακαρνανίας-Μεσολόγγι - Hondos Center","Τηλ: 2631022280 - Site: www.hondoscenter.gr","21.42926","38.37003","30200","Μεσολόγγι","Κωστή Παλαμά + Ζαφ. Ραπέση",""
"Αιτωλοακαρνανίας-Ναύπακτος - Hondos Center","Τηλ: 2634027627 - Site: www.hondoscenter.gr","21.83267","38.39446","30300","Ναύπακτος","Λεωφ. Τζαβέλλα","94"
"Αργολίδας-Ναύπλιο - Hondos Center","Τηλ: 2752025274 - Site: www.hondoscenter.gr","22.80777","37.56658","21100","Ναύπλιο","Λεωφ. Ασκληπιού","5"
"Αρκαδίας-Τρίπολη - Hondos Center","Τηλ: 2710239206 - Site: www.hondoscenter.gr","22.37338","37.50988","22100","Τρίπολη","Βασ. Γεωργίου Α","17"
"Άρτας-Άρτα - Hondos Center","Τηλ: 2681077666 - Site: www.hondoscenter.gr","20.98510","39.16106","47132","Άρτα","Νικ. Σκουφά","107"
"Αττικής-Αγία Παρασκευή - Hondos Center","Τηλ: 2106013321 - Site: www.hondoscenter.gr","23.82293","38.01136","15342","Αγία Παρασκευή","Αγ. Ιωάννου","16"
"Αττικής-Αθήνα-Αμπελόκηποι - Hondos Center","Τηλ: 2107787222 - Site: www.hondoscenter.gr","23.76232","37.98722","11526","Αθήνα","Λεωφ. Κηφισίας","16"
"Αττικής-Αθήνα-Κολωνάκι - Hondos Center","Τηλ: 2103386000 - Site: www.hondoscenter.gr","23.73864","37.97663","10671","Αθήνα","Μέρλιν","6"
"Αττικής-Αθήνα-Μοναστηράκι - Hondos Center","Τηλ: 2103722900 - Site: www.hondoscenter.gr","23.73019","37.97614","10563","Αθήνα","Ερμού","39"
"Αττικής-Αθήνα-Ομόνοια - Hondos Center","Τηλ: 2105282800 - Site: www.hondoscenter.gr","23.72795","37.98452","10431","Αθήνα","Πλ. Ομονοίας","4"
"Αττικής-Αθήνα-Παγκράτι - Hondos Center","Τηλ: 2107575600 - Site: www.hondoscenter.gr","23.75087","37.96473","11633","Αθήνα","Χρεμωνίδου","50"
"Αττικής-Αθήνα-Σύνταγμα - Hondos Center","Τηλ: 2103255466 - Site: www.hondoscenter.gr","23.73377","37.97831","10564","Αθήνα","Ομήρου","4-6"
"Αττικής-Αιγάλεω - Hondos Center","Τηλ: 2105386800 - Site: www.hondoscenter.gr","23.68296","37.99210","12242","Αιγάλεω","Σμύρνης","48-50"
