"Αττικής-Αιγάλεω - ΙΚΕΑ","Τηλ: 2103543403 - Fax: 2105400599 - Site: www.ikea.gr - Εμπ. Κέντρο River West.","23.67988","37.98102","12241","Αιγάλεω","Λεωφ. Κηφισού","96-98"
"Αττικής-Πειραιάς - ΙΚΕΑ","Τηλ: 2103543403 - Fax: 2103543599 - Site: www.ikea.gr","23.64335","37.94581","18531","Πειραιάς","Δημ. Γούναρη","10-12"
"Αττικής-Σπάτα - ΙΚΕΑ","Τηλ: 2103543403 - Fax: 2103543599 - Site: www.ikea.gr - Εμπ. Πάρκο Αεροδρομίου","23.93104","37.92465","19004","Σπάτα","Αττική Οδός",""
"Αχαΐας-Πάτρα-Περιβόλα - ΙΚΕΑ","Τηλ: 2103543403 - Fax: 2610644310 - Site: www.ikea.gr - E-mail: patra.cs@ikea.gr - Κέντρο Παραγγελιών και Παραλαβών","21.76074","38.20887","26334","Πάτρα","Πατρών-Κλάους","250"
"Δωδεκανήσου-Ρόδος-Σγουρού - ΙΚΕΑ","Τηλ: 2103543403 - Fax: 2241067333 - Site: www.ikea.gr - E-mail: rhodes.cs@ikea.gr - Κέντρο Παραγγελιών + Παραλαβών","28.20651","36.40623","85150","Σγουρού","5ο χλμ. Λεωφ. Ρόδου-Λίνδου",""
"Ηρακλείου-Νέα Αλικαρνασσός - ΙΚΕΑ","Τηλ: 2103543403 - Fax: 2810333830 - Site: www.ikea.gr - E-mail: heraklio.cs@ikea.gr - Κέντρο Παραγγελιών και Παραλαβών","25.16117","35.33836","71408","Νέα Αλικαρνασσός","Βελισσαρίου","1"
"Θεσσαλονίκης-Πυλαία - ΙΚΕΑ","Τηλ: 2103543403 - Fax: 2310490501 - Site: www.ikea.gr","22.98359","40.55034","57001","Πυλαία","12ο χλμ. Λεωφ. Γεωργικής Σχολής",""
"Ιωαννίνων-Επισκοπικό - ΙΚΕΑ","Τηλ: 2103543403 - Fax: 2651095599 - Site: www.ikea.gr","20.86966","39.55119","45500","Επισκοπικό","13ο χλμ. Ε.Ο. Ιωαννίνων-Αθηνών",""
"Λάρισας-Νίκαια - ΙΚΕΑ","Τηλ: 2103543403 - Fax: 2410568599 - Site: www.ikea.gr","22.46945","39.58156","41500","Νίκαια","8ο χλμ. Π.Ε.Ο. Λάρισας-Αθήνας",""
"Μεσσηνίας-Καλαμάτα - ΙΚΕΑ","Τηλ: 2103543403 - Fax: 2241067333 - Site: www.ikea.gr - Κέντρο Παραγγελιών + Παραλαβών","22.10312","37.03066","24134","Καλαμάτα","Αρτέμιδος","181"
"Ροδόπης-Ροδίτης - ΙΚΕΑ","Τηλ: 2103543403 - Fax: 2531033313 - Site: www.ikea.gr - E-mail: komotini.cs@ikea.gr - Κέντρο Παραγγελιών + Παραλαβών","25.44347","41.09861","69150","Ροδίτης","3ο χλμ. Ε.Ο. Κομοτηνής-Αλεξανδρούπολης",""
"Χανίων-Χανιά - ΙΚΕΑ","Τηλ: 2103543403 - Fax: 2821076032 - Site: www.ikea.gr - E-mail: chania.cs@ikea.gr - Κέντρο Παραγγελιών + Παραλαβών","24.03783","35.49701","73134","Χανιά","Λεωφ. Κων. Καραμανλή","404"
