"Αιτωλοακαρνανίας-Αγρίνιο - Public","Τηλ: 2641045664 - Site: www.public.gr","21.40936","38.62524","30131","Αγρίνιο","Αφων Παπαστράτου","3"
"Αργολίδας-Άργος - Public","Τηλ: 2751061950 - Site: www.public.gr","22.72795","37.63321","21200","Άργος","Δαναού","25"
"Αττικής-Αγία Παρασκευή - Public","Τηλ: 2106003118 - Site: www.public.gr","23.81848","38.01288","15342","Αγία Παρασκευή","Λεωφ. Μεσογείων","402"
"Αττικής-Άγιος Δημήτριος - Public","Τηλ: 2109730185 - Site: www.public.gr - Εμπ. Κέντρο Athens Metro Mall.","23.74074","37.93945","17343","Άγιος Δημήτριος","Λεωφ. Βουλιαγμένης","276"
"Αττικής-Αθήνα-Κολωνάκι - Public","Τηλ: 2103387150 - Site: www.public.gr","23.74041","37.97738","10673","Αθήνα","Σκουφά","3"
"Αττικής-Αθήνα-Σύνταγμα - Public","Τηλ: 2108181333 - Site: www.public.gr","23.73366","37.97628","10563","Αθήνα","Καραγιώργη Σερβίας","1"
"Αττικής-Αιγάλεω - Public","Τηλ: 2105904456 - Site: www.public.gr","23.68218","37.99101","12241","Αιγάλεω","Αλέξ. Παπαναστασίου","3"
"Αττικής-Γλυφάδα - Public","Τηλ: 2108984300 - Site: www.public.gr","23.74543","37.86537","16675","Γλυφάδα","Σάκη Καράγιωργα 4 + Λαζαράκη",""
"Αττικής-Ζωγράφος - Public","Τηλ: 2107777611 - Site: www.public.gr","23.76292","37.97867","15771","Ζωγράφος","Ούλωφ Πάλμε","44"
"Αττικής-Καλλιθέα - Public","Τηλ: 2144029600 - Site: www.public.gr","23.70069","37.94463","17673","Καλλιθέα","Λεωφ. Συγγρού","340"
"Αττικής-Καλλιθέα - Public","Τηλ: 2109530351 - Site: www.public.gr","23.70352","37.95675","17672","Καλλιθέα","Λεωφ. Ελευθ. Βενιζέλου","155-157"
"Αττικής-Κορυδαλλός - Public","Τηλ: 2104966983 - Site: www.public.gr","23.65107","37.97720","18120","Κορυδαλλός","Πλ. Ελευθερίας","10"
"Αττικής-Μαρούσι - Public","Τηλ: 2106300410 - Site: www.public.gr - Εμπ. Κέντρο The Mall Athens","23.79076","38.04534","15122","Μαρούσι","Ανδρέα Παπανδρέου","35"
"Αττικής-Μαρούσι - Public","Τηλ: 2106838886 - Site: www.public.gr - Εμπ. Κέντρο Golden Hall","23.79449","38.03308","15122","Μαρούσι","Λεωφ. Κηφισίας","37Α"
"Αττικής-Νέα Ερυθραία - Public","Τηλ: 2106257550 - Site: www.public.gr","23.81687","38.08808","14563","Νέα Ερυθραία","Χαρ. Τρικούπη","123"
