"Αττικής-Άγιος Δημήτριος - TGI Fridays","Τηλ: 2109717223 - Fax: 2109717664 - Site: www.fridays.gr - E-mail: metromall@fridays.gr - Εμπ. Κέντρο Athens Metro Mall.","23.74074","37.93945","17343","Άγιος Δημήτριος","Λεωφ. Βουλιαγμένης","276"
"Αττικής-Αθήνα-Αμπελόκηποι - TGI Fridays","Τηλ: 2106475417 - Fax: 2106475416 - Site: www.fridays.gr - E-mail: ambelokipi@fridays.gr","23.76124","37.98681","11526","Αθήνα","Λεωφ. Κηφισίας + Λεωφ. Αλεξάνδρας",""
"Αττικής-Αθήνα-Κολωνάκι - TGI Fridays","Τηλ: 2107227721 - Fax: 2107227773 - Site: www.fridays.gr - E-mail: kolonaki@fridays.gr","23.74136","37.97600","10674","Αθήνα","Νεοφύτου Βαμβά","2"
"Αττικής-Αθήνα-Μοναστηράκι - TGI Fridays","Τηλ: 2103319603 - Site: www.fridays.gr - E-mail: kapnikarea@fridays.gr","23.72882","37.97626","10563","Αθήνα","Καπνικαρέας","3"
"Αττικής-Γλυφάδα - TGI Fridays","Τηλ: 2108982608 - Fax: 2108983732 - Site: www.fridays.gr - E-mail: glyfada@fridays.gr","23.75169","37.86130","16674","Γλυφάδα","Λαζαράκη","43"
"Αττικής-Κηφισιά-Κεφαλάρι - TGI Fridays","Τηλ: 2106233947 - Fax: 2106233949 - Site: www.fridays.gr - E-mail: kifisia@fridays.gr","23.81925","38.07466","14562","Κηφισιά","Κολοκοτρώνη","35"
"Αττικής-Μαρούσι - TGI Fridays","Τηλ: 2106829541 - Site: www.fridays.gr - E-mail: goldenhall@fridays.gr - Εμπ. Κέντρο Golden Hall.","23.79449","38.03308","15123","Μαρούσι","Λεωφ. Κηφισίας","37Α"
"Αττικής-Παλαιό Φάληρο-Φλοίσβος - TGI Fridays","Τηλ: 2109858090 - Fax: 2109858092 - Site: www.fridays.gr - Μαρίνα Φλοίσβου.","23.68581","37.93134","17561","Παλαιό Φάληρο","",""
"Θεσσαλονίκης-Θεσσαλονίκη - TGI Fridays","Τηλ: 2310242914 - Fax: 2310244937 - Site: www.fridays.gr - E-mail: aristotelous@fridays.gr","22.94029","40.63245","54624","Θεσσαλονίκη","Πλ. Αριστοτέλους","3"
"Θεσσαλονίκης-Πυλαία - TGI Fridays","Τηλ: 2310473760 - Fax: 2310473693 - Site: www.fridays.gr - E-mail: pylaia@fridays.gr - Εμπ. Κέντρο Mediterranean Cosmos.","22.99232","40.55465","57001","Πυλαία","11ο χλμ. Α/Δ Θεσσαλονίκης-Ν. Μουδανιών",""
