"Beauty Spa - Ελ.Πετρουλακη & Ιβιτς","210-9681317-8","23.74422","37.86525","","Γλυφαδα","ΠοσειδωνοςΛεωφορος","80"
"Caroli Health Club","210-8980746","23.75600","37.85915","","Γλυφαδα","Κυπρου","65"
"Club Daily Spa","210-6564135","23.79033","38.00186","","Χολαργος","Μεσογειων & Σαρανταπορου",""
"Cocoon Urban Spa","210-6561975","23.81212","38.01253","","Αγ.Παρασκευη","Σουλιου & Εριφυλης",""
"Day Treatment Beauty works","210-8089070","23.81515","38.07267","","Κηφισια Αττικης","Κολοκοτρωνη","8"
"Divani Apollon Deluxe","210-8911100","23.77069","37.82798","","Βουλιαγμενη Αττικης","Αγ.Νικολαου&Ηλιου",""
"Elizabeth Spa","210-7702408","23.75668","37.98247","","Αθηνα","Βας.Σοφιας Λεωφορος","96"
"Good Looks-Day Spa","210-7254250","23.74557","37.97664","","Αθηνα","Υψηλαντου & Πλουταρχου",""
"La Prairie Daily Spa","210-3601540/3601550 (5ος & ημιώροφος,Κολωνάκι)","23.74014","37.97698","","Αθηνα","Καναρη Κ.","24"
"La Prairie Daily Spa","210-6230101-2 (Εμπορικό κέντρο Μελά) 3ος όροφος","23.81360","38.07222","","Κηφισια Αττικης","Λεβιδου","1"
"Medi Spa (Θεσσ/νίκη)","2310-302157","22.95951","40.59468","","Θεσσαλονικη","Κρητης & Βουλγαρη",""
"Medi Spa (Π.Φάληρο)","210-9858210","23.69214","37.92446","","Παλαιο Φαληρο","ΠοσειδωνοςΛεωφορος","36"
"Medi Spa (Ψυχικό)","210-6729900-2","23.77076","37.99927","","Αθηνα","Κηφισιας Λεωφορος","164"
"Metabolism","210-5910101","23.68740","37.99709","","Αιγαλεω","Κολοκοτρωνη","46"
"MF Day Spa","2109014211","23.73041","37.95621","11744","Αθήνα","Βαρβιτσιώτη","24"
"Spirit Day Spa","210-5780500","23.69720","38.00785","","Περιστερι","Βας.Αλεξανδρου&Κολοκοτρωνη",""
"Tansy Wellness SPA","210-6838008","23.80341","38.02340","","Χαλανδρι","Πεντελης Λεωφορος","20"
"The One Spa Beaute","210 6851778","23.79357","38.03057","","Χαλανδρι","Δελφων","5"
"Ηράκλειο Κρήτης-Spa Center","","25.13371","35.33858","","Ηράκλειο-Κρήτη","",""
"Κόρινθος-Λουτράκι -Thermal Spa","","22.974762","37.980359","20300","Λουτράκι Κορίνθου","",""
