Αθανάσιος Διάκος,,22.174451,38.69857,33053,Λιδορίκιον,,
Αιανη Αρχαιολογικο μουσείο,,21.826077,40.16715,,Αιανη,,
Αίγιο Αρχαιολογικό Μουσείο Αιγίου,,22.08792,38.25251,25100,Αίγιο,Αγίου Ανδρέου,3
Ακρόπολη - Αρχαιολογικό,210-3236665,23.7299,37.96932,,Αθηνα,Στρατηγου Μακρυγιαννη,2
Αργος Αρχαιολογικό Μουσείο ʼργους,,22.72693,37.63478,22100,Αργος,Βασιλίσσης Ολγας,2
Αρκαδία-Βυτίνα - Λαογραφικό Μουσείο,,22.182356,37.670643,,Βυτίνα,,
Αρχαιολογική Συλλογή Αχαρνών,"Τηλ.: 2102466122 - 10η στάση Κόκκινου Μύλου,έναντι Δημαρχείου Αχαρνών",23.73983,38.07506,,Μενίδι,Λεωφ. Φιλαδελφεία,76
Αρχαιολογική Συλλογή Κηφισιάς,Τηλ.: 2108085560,23.81703,38.07145,,Κηφισιά,Γεωργαντά,30
Αρχαιολογικό Μουσείο Θες\νικης,,22.953658,40.625525,,,,
Αρχαιολογικό Μουσείο Μαραθώνα,Τηλ.: 2294055155,23.94877,38.12276,,Μαραθώνας Αττικής,Πλαταιών,114
ΑΡΧΑΙΟΛΟΓΙΚΟ ΜΟΥΣΕΙΟ ΣΠΑΡΤΗΣ,,22.4311,37.07465,,Σπάρτη,,
ΑΡΧΑΙΟΛΟΓΙΚΟ ΜΟΥΣΕΙΟ ΧΩΡΑΣ,ΜΕΣΣΗΝΙΑΣ,21.7207,37.05345, , , , 
ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΜΕΣΣΗΝΙΑΣ,ΑΝΑΚΤΟΡΟ ΝΕΣΤΟΡΑ ,21.69577,37.02711, , , , 
Αττική-Αθήνα - Αρχαιολογικό Μουσείο Κεραμεικού,,23.71803,37.97777,11851,Αθήνα,Λεωφόρος Ερμού,
Αττική-Αθήνα - Κέντρο Μελέτης Νεώτερης Κεραμικής,210-3318491,23.72004,37.97825,10553,Αθήνα Αττικής,Μελιδονη,6
Αττική-Αθήνα Εθνική Πινακοθήκη - Μουσείο Αλεξάνδρου Σούτζου,,23.74773,37.97502,11528,Αθήνα,Μιχαλακοπούλου,1
Αττική-Αθηνα Μουσείο Αρχαίας Αγοράς Αθηνών,,23.72385,37.97597,10555,Αθηνα,Λεωφόρος Αδριάνου,24
Αττική-Αθήνα Μουσείο Χαρακτικής και Γραφικών Τεχνών ,,23.73012,37.97416,,Αθήνα,Αγίας Φιλοθέης,10
Αττική-Αθήνα Πινακοθήκη Δήμου Αθηναίων,,23.72246,37.98162,10553,Αθήνα,Πειραιώς,51
Αττική-Αθήνα Φιλοτελικό Μουσείο,,23.74109,37.97004,,Αθήνα,Πλατεία Σταδίου,5
Αττική-Παλλήνη Πυροσβεστικό Μουσείο,Τηλ. 2106034280,23.868079,38.005219,15351,Παλλήνη,Νίκου Μίληση & Λεωφ. Μαραθώνος,
Αττική-Πειραιάς Δημοτική Πινακοθήκη Πειραιά,,23.642,37.937222,18536,Πειραιάς,Ηρώων Πολυτεχνείου,91
Αττική-Σεπόλια Σιδηροδρομικό Μουσείο,,23.72054,38.00955,,Σεπόλια Αττικής,Σιώκου,
Αχαια-Καλάβρυτα Μουσείο Θυσίας Καλαβρυτινών,,22.110468,38.032943,25001,Καλάβρυτα,25ης Μαρτίου,
Αχαΐα-Πάτρα - Αρχαιολογικό Μουσείο Πάτρας,Τηλ: 2610 420645,21.75146,38.2632,,,,
Βέροια - Αρχαιολογικό,23310-24972,22.20767,40.5265,59100,,Ανοιξεως Λεωφορος,
Βόλος - Αθανασάκιο Αρχαιολογικό,24210-25285,22.96126,39.35138,,Βολος,Αθανασακη,1
Βυζαντινό και Χριστιανικό Μουσείο,"Τηλ.: 2107211027, 2107232178 - Κολωνάκι",23.74531,37.97568,,Αθήνα,Βασ. Σοφίας,22
Γουλανδρή - Φυσικής Ιστορίας,210-8015870,23.8152,38.07439,14562,,Λεβιδου,13
Γρεβενά - Μηλέα ΜΟΥΣΕΙΟ ΦΥΣΙΚΗΣ ΙΣΤΟΡΙΑΣ,2462061271,21.476504,40.179113,51100,Μηλέα Γρεβενών,,
Διεθνές Ολυμπιακό Μουσείο Κεραμικής Γλυπτικής Δήμου Αμαρουσίου,"Τηλ.: 2106126343 - Παλαιό Δημαρχείο, πλατεία Ηρώων",23.80868,38.0565,,Μαρούσι,,
Εβραικό Μουσείο Ελλάδος,210-3225582,23.73306,37.97291,,Αθηνα,Νικης,39
Εθνικό Αρχαιολογικό,210-8217717,23.73087,37.98984,,Αθηνα,Πατησιων Λεωφορος,44
Εθνικό Αρχαιολογικό Μουσείο,Τηλ.: 2108217717,23.7321,37.9891,,,Πατησίων,44
Εθνικό Μουσείο Σύγχρονης Τέχνης-Ωδείο Αθηνών,Τηλ.: 2109242111,23.74249,37.97263,,,Βασ. Γεωργίου Β΄,17-19
Ελασσώνα - Μουσείο Φυσικής Ιστορίας ,24930 22480,22.186075,39.896322,,Ελασσώνα,Έκτης Οκτωβρίου,
